1787040627633338880,-0.04651,0.13383,-0.01938,0.86509,-0.49872,-0.01220,0.05239,
1787040627700005888,-0.05940,0.18506,-0.02163,0.85308,-0.51693,-0.04534,0.05465,
1787040627900007936,-0.00008,0.24359,-0.01432,0.84691,-0.52244,-0.09331,0.03307,
1787040627966672896,0.01590,0.28242,0.00561,0.85949,-0.50382,-0.08179,0.02721,
1787040628033338112,0.03294,0.32275,0.02602,0.86814,-0.49248,-0.06064,0.01128,
1787040628100007936,0.04890,0.36553,0.04129,0.88075,-0.47177,-0.03933,-0.01290,
1787040628166671872,0.06643,0.39848,0.05093,0.88702,-0.45957,-0.01238,-0.04284,
1787040628233338112,0.08507,0.43114,0.05664,0.88861,-0.45055,0.01660,-0.08425,
1787040628300007168,0.10262,0.46034,0.05793,0.88896,-0.43768,0.04160,-0.12824,
1787040628366672896,0.11937,0.49655,0.05819,0.88511,-0.42719,0.06814,-0.17158,
1787040628433339136,0.14231,0.54168,0.05275,0.87392,-0.42588,0.10136,-0.21121,
1787040628500005888,0.16195,0.58483,0.04505,0.86170,-0.41829,0.14477,-0.24809,
1787040628566673152,0.17941,0.62620,0.04198,0.84825,-0.40138,0.18241,-0.29341,
1787040628633337856,0.19796,0.66222,0.04326,0.83137,-0.37943,0.22258,-0.33958,
1787040628700006912,0.21658,0.70395,0.04840,0.80945,-0.35432,0.26060,-0.38902,
1787040628766673152,0.23080,0.73786,0.04832,0.78400,-0.33514,0.28817,-0.43587,
1787040628833338880,0.24385,0.76994,0.04976,0.75817,-0.32330,0.30397,-0.47777,
1787040628900007936,0.26536,0.79115,0.05140,0.73519,-0.30996,0.31969,-0.51109,
1787040628966672896,0.29980,0.81495,0.04996,0.71310,-0.29048,0.33825,-0.54101,
1787040629033339136,0.34172,0.83899,0.04754,0.69288,-0.27529,0.34944,-0.56747,
1787040629100007168,0.39355,0.85565,0.04185,0.67720,-0.26224,0.35798,-0.58693,
1787040629166672896,0.43825,0.88060,0.03267,0.66443,-0.25322,0.36070,-0.60358,
1787040629233338112,0.49544,0.90001,0.02629,0.65526,-0.24412,0.36007,-0.61757,
1787040629300005888,0.55837,0.91200,0.02736,0.64652,-0.23680,0.36021,-0.62943,
1787040629366672896,0.61523,0.92332,0.03552,0.63036,-0.22823,0.36607,-0.64541,
1787040629433339136,0.67217,0.93531,0.04714,0.61326,-0.22160,0.37426,-0.65934,
1787040629500005888,0.73047,0.94582,0.05804,0.59659,-0.21983,0.37918,-0.67230,
1787040629566673920,0.78784,0.95423,0.06102,0.58529,-0.21897,0.38028,-0.68181,
1787040629633338880,0.84246,0.95821,0.05569,0.57777,-0.21008,0.37643,-0.69308,
1787040629700006912,0.90568,0.95860,0.04240,0.57055,-0.20281,0.37439,-0.70226,
1787040629766674944,0.98673,0.95803,0.02774,0.56477,-0.19493,0.37583,-0.70837,
1787040629833338880,1.07396,0.95549,0.01854,0.56063,-0.18539,0.37658,-0.71380,
1787040629900006912,1.15377,0.94643,0.02239,0.56000,-0.17115,0.37918,-0.71647,
1787040630033339904,1.31492,0.91562,0.05516,0.54431,-0.15674,0.39921,-0.72097,
1787040630100006144,1.39197,0.89250,0.06631,0.53239,-0.14922,0.40785,-0.72661,
1787040630166671872,1.47089,0.86640,0.06552,0.52562,-0.13638,0.41821,-0.72817,
1787040630233339136,1.55612,0.83698,0.05408,0.52388,-0.12102,0.42615,-0.72753,
1787040630366672128,1.71933,0.77415,0.02233,0.52109,-0.10655,0.43300,-0.72776,
1787040630500005120,1.89265,0.70698,0.01839,0.52177,-0.12170,0.43035,-0.72646,
1787040630633338880,2.06866,0.64759,0.05082,0.51966,-0.14259,0.42607,-0.72670,
1787040630700007936,2.15970,0.62277,0.05993,0.51620,-0.15828,0.42409,-0.72707,
1787040630766671872,2.24605,0.60127,0.05700,0.51813,-0.17036,0.41510,-0.72816,
1787040630833339904,2.36229,0.57119,0.04440,0.52253,-0.18185,0.40852,-0.72596,
1787040630966671104,2.54568,0.52036,0.01185,0.53237,-0.19604,0.40641,-0.71623,
1787040631100006144,2.74423,0.46175,0.01948,0.53576,-0.20742,0.41506,-0.70545,
1787040631233338112,2.91720,0.38176,0.05162,0.53626,-0.19961,0.43239,-0.69686,
1787040631366672128,3.08744,0.29625,0.04486,0.54158,-0.17767,0.43372,-0.69786,
1787040631500006912,3.24742,0.21319,0.01141,0.55344,-0.17313,0.42062,-0.69772,
1787040631566672128,3.34678,0.16644,0.00725,0.56251,-0.17900,0.40794,-0.69652,
1787040631633337856,3.42465,0.12872,0.01553,0.57624,-0.19056,0.39450,-0.68993,
1787040631700006912,3.52137,0.09246,0.03399,0.58859,-0.19785,0.38092,-0.68507,
1787040631766673152,3.61587,0.06098,0.05345,0.59672,-0.21109,0.38371,-0.67240,
1787040631833338880,3.72291,0.02965,0.05844,0.59906,-0.22663,0.38982,-0.66167,
1787040631900006144,3.83167,-0.00084,0.04779,0.60045,-0.23862,0.39401,-0.65366,
1787040631966672896,3.94684,-0.03156,0.02631,0.59535,-0.25305,0.40843,-0.64398,
1787040632166671872,4.27700,-0.11150,0.00549,0.58380,-0.24780,0.41165,-0.65446,
1787040632366671104,4.56495,-0.20388,0.05148,0.58873,-0.23602,0.42670,-0.64468,
1787040632433339136,4.64857,-0.22911,0.04871,0.59324,-0.22835,0.41925,-0.64819,
1787040632500005120,4.74284,-0.25367,0.03553,0.59870,-0.22613,0.40325,-0.65408,
1787040632566673152,4.83782,-0.27946,0.02043,0.60553,-0.22425,0.38777,-0.65779,
1787040632633338880,4.93872,-0.30787,0.01242,0.61386,-0.23112,0.37674,-0.65408,
1787040632700005888,5.04057,-0.33527,0.01259,0.62467,-0.24183,0.36416,-0.64707,
1787040632766673152,5.14451,-0.35690,0.02692,0.63453,-0.25637,0.35281,-0.63810,
1787040632833338112,5.26563,-0.37811,0.05019,0.63871,-0.27285,0.36170,-0.62191,
1787040632900006144,5.37504,-0.39407,0.06603,0.63672,-0.28968,0.37584,-0.60780,
1787040632966671872,5.48039,-0.40566,0.06539,0.64061,-0.29930,0.36527,-0.60549,
1787040633033339136,5.59134,-0.41787,0.05074,0.65023,-0.30349,0.35135,-0.60136,
1787040633100007168,5.70358,-0.43127,0.03397,0.66356,-0.30001,0.33915,-0.59553,
1787040633300005888,6.03632,-0.47436,0.05084,0.67309,-0.29068,0.35180,-0.58197,
1787040633366672128,6.14687,-0.49827,0.07037,0.66922,-0.29058,0.36687,-0.57717,
1787040633433339136,6.25022,-0.52209,0.08094,0.66190,-0.29024,0.38786,-0.57203,
1787040633500005888,6.36243,-0.54455,0.07476,0.65178,-0.29083,0.40445,-0.57185,
1787040633566673152,6.46899,-0.56660,0.05676,0.63870,-0.29232,0.42228,-0.57297,
1787040633700005888,6.69478,-0.61209,0.02315,0.62648,-0.29721,0.42830,-0.57945,
1787040633833338112,6.90154,-0.64898,0.03186,0.62425,-0.31353,0.42269,-0.57736,
1787040634033339136,7.18756,-0.66910,0.08031,0.63133,-0.32233,0.40125,-0.58011,
1787040634100007168,7.29743,-0.67523,0.06781,0.63746,-0.31768,0.38506,-0.58690,
1787040634166671872,7.40798,-0.68186,0.04801,0.64342,-0.30742,0.37089,-0.59493,
1787040634300004864,7.61614,-0.69354,0.04091,0.64112,-0.29593,0.37811,-0.59868,
1787040634433339136,7.84196,-0.71448,0.06664,0.64066,-0.28444,0.39163,-0.59605,
1787040634500005888,7.95380,-0.72923,0.08050,0.64012,-0.29141,0.40591,-0.58358,
1787040634700005888,8.25296,-0.76854,0.04492,0.64144,-0.29378,0.42207,-0.56930,
1787040634833339904,8.48024,-0.79930,0.02419,0.63804,-0.30423,0.42494,-0.56549,
1787040634966672896,8.70301,-0.82218,0.04921,0.65126,-0.30122,0.41536,-0.55910,
1787040635100006144,8.92270,-0.82395,0.07441,0.66037,-0.30245,0.40057,-0.55855,
1787040635233339904,9.16086,-0.81981,0.04419,0.65900,-0.30818,0.37537,-0.57432,
1787040635366672128,9.38580,-0.82267,0.02509,0.65782,-0.30006,0.37285,-0.58156,
1787040635500005120,9.64651,-0.83222,0.04294,0.64880,-0.29680,0.38911,-0.58272,
1787040635566673152,9.74029,-0.84559,0.05457,0.63696,-0.31118,0.41758,-0.56840,
1787040635633337856,9.87835,-0.85863,0.05245,0.62463,-0.31693,0.44696,-0.55644,
1787040635833338880,10.26461,-0.88077,-0.00488,0.61828,-0.31835,0.45534,-0.55593,
1787040635966671872,10.51404,-0.88835,-0.01876,0.62406,-0.33474,0.44648,-0.54695,
1787040636033339136,10.62625,-0.88580,-0.00540,0.62485,-0.34576,0.44603,-0.53952,
1787040636100007168,10.77982,-0.87432,0.01170,0.61968,-0.35937,0.45273,-0.53093,
1787040636233339136,10.99260,-0.85226,0.01310,0.62817,-0.36682,0.42450,-0.53912,
1787040636300007168,11.10907,-0.84357,-0.00444,0.64467,-0.35295,0.40338,-0.54508,
1787040636366673920,11.21331,-0.83751,-0.02033,0.65909,-0.33640,0.38726,-0.54996,
1787040636433339136,11.33995,-0.83000,-0.02658,0.66771,-0.32133,0.38230,-0.55205,
1787040636633337856,11.70324,-0.83258,0.00904,0.67070,-0.31684,0.40204,-0.53678,
1787040636766673152,11.92225,-0.84893,0.00433,0.67492,-0.30364,0.41543,-0.52887,
1787040636900006144,12.13897,-0.86694,-0.03489,0.66948,-0.29734,0.42181,-0.53428,
1787040637033339136,12.36858,-0.88133,-0.04587,0.65698,-0.31115,0.42063,-0.54280,
1787040637166672896,12.61326,-0.87831,-0.01245,0.64832,-0.32412,0.42808,-0.53980,
1787040637300004864,12.83839,-0.86189,-0.00361,0.64593,-0.32920,0.40715,-0.55555,
1787040637433337856,13.06646,-0.84930,-0.03484,0.64794,-0.32105,0.39040,-0.56981,
1787040637500006912,13.18457,-0.84520,-0.04244,0.64725,-0.31061,0.39504,-0.57318,
1787040637566673920,13.29451,-0.84142,-0.03642,0.64338,-0.29959,0.39866,-0.58085,
1787040637766673152,13.61911,-0.84927,0.00883,0.63967,-0.29959,0.41725,-0.57182,
1787040637966671872,13.98568,-0.86054,-0.03469,0.65688,-0.28065,0.41814,-0.56117,
1787040638100007168,14.20877,-0.86946,-0.04454,0.67082,-0.28123,0.39643,-0.56014,
1787040638233339136,14.46336,-0.86404,-0.01778,0.67711,-0.29052,0.39761,-0.54682,
1787040638366672128,14.67138,-0.84933,0.00805,0.67394,-0.30417,0.38330,-0.55350,
1787040638500005888,14.92967,-0.83340,-0.02388,0.67855,-0.29750,0.36695,-0.56251,
1787040638633338880,15.18173,-0.82109,-0.03510,0.67427,-0.27349,0.37389,-0.57513,
1787040638700005888,15.34765,-0.81086,-0.02577,0.66807,-0.26906,0.38318,-0.57833,
1787040638833338880,15.53550,-0.81650,0.00630,0.66023,-0.26819,0.39632,-0.57888,
1787040639166672896,16.12274,-0.80229,-0.03849,0.67486,-0.26598,0.37392,-0.57793,
1787040639233339136,16.26089,-0.79779,-0.03815,0.69304,-0.27404,0.36123,-0.56045,
1787040639300005888,16.39652,-0.79423,-0.02364,0.70520,-0.28358,0.35521,-0.54416,
1787040639366672128,16.50009,-0.79404,-0.00214,0.70846,-0.29587,0.36641,-0.52563,
1787040639433340160,16.64663,-0.78581,0.01078,0.71610,-0.29947,0.36094,-0.51696,
1787040639500005120,16.82042,-0.77146,0.00757,0.72526,-0.30292,0.34144,-0.51542,
1787040639633337856,17.09756,-0.75353,-0.02290,0.73001,-0.31399,0.33232,-0.50799,
1787040639700005888,17.21918,-0.75466,-0.02757,0.72549,-0.31171,0.34374,-0.50827,
1787040639766673920,17.36017,-0.75579,-0.01719,0.71873,-0.30769,0.35059,-0.51559,
1787040639833338880,17.49007,-0.75489,0.00029,0.70978,-0.30774,0.35999,-0.52145,
1787040639900006912,17.62842,-0.75855,0.01822,0.69871,-0.30652,0.37624,-0.52564,
1787040639966672896,17.73192,-0.76619,0.02698,0.68827,-0.29808,0.38931,-0.53467,
1787040640033338112,17.84528,-0.77097,0.02055,0.68271,-0.28486,0.39131,-0.54739,
1787040640100006144,17.99241,-0.76358,0.00462,0.67727,-0.27678,0.38740,-0.56091,
1787040640166672896,18.10078,-0.76622,-0.00838,0.67324,-0.27177,0.37858,-0.57408,
1787040640366672128,18.48225,-0.77681,0.00725,0.67785,-0.26071,0.34865,-0.59244,
1787040640433340160,18.64696,-0.76653,0.02992,0.67308,-0.25944,0.35838,-0.59264,
1787040640500008192,18.77089,-0.75418,0.04376,0.65890,-0.26399,0.37269,-0.59772,
1787040640566672128,18.88784,-0.74618,0.04178,0.64933,-0.26691,0.36880,-0.60919,
1787040640633339904,19.04294,-0.72536,0.02550,0.64242,-0.26364,0.36656,-0.61921,
1787040640700006912,19.17559,-0.71080,0.01100,0.63962,-0.25270,0.35999,-0.63043,
1787040640766674944,19.31180,-0.69691,0.00472,0.63772,-0.24249,0.35724,-0.63788,
1787040640833338880,19.44015,-0.68476,0.01366,0.62988,-0.23281,0.36045,-0.64740,
1787040640966671872,19.71613,-0.67577,0.05685,0.61364,-0.23380,0.36876,-0.65788,
1787040641033339136,19.85980,-0.67189,0.06931,0.60638,-0.23231,0.37828,-0.65972,
1787040641166672896,20.10847,-0.67803,0.05159,0.60244,-0.21660,0.38554,-0.66446,
1787040641366672128,20.54602,-0.68366,0.01717,0.60121,-0.23332,0.39861,-0.65209,
1787040641433337856,20.67218,-0.70138,0.02249,0.60409,-0.25316,0.41648,-0.63050,
1787040641500006912,20.83905,-0.70895,0.03733,0.59880,-0.27973,0.43709,-0.61003,
