1787040631566672128,1.24988,2.92360,-0.12406,0.87703,-0.41036,0.16304,-0.18933,0.92644,1.29287,0.03408,
1787040631633337856,1.29449,2.98977,-0.10493,0.88328,-0.40977,0.14561,-0.17521,0.79276,1.27648,0.23716,
1787040631700006912,1.33525,3.06627,-0.07933,0.88978,-0.40577,0.13057,-0.16308,0.72030,1.32243,0.36784,
1787040631766673152,1.38601,3.16442,-0.06012,0.88721,-0.41867,0.12488,-0.14824,0.68460,1.38460,0.26988,
1787040631833338880,1.43742,3.26817,-0.05431,0.88150,-0.43502,0.12005,-0.13891,0.67079,1.41002,0.01672,
1787040631900006144,1.48879,3.37159,-0.06606,0.87689,-0.44742,0.11592,-0.13209,0.72670,1.49906,-0.21645,
1787040631966672896,1.53938,3.47553,-0.09005,0.86617,-0.46826,0.11814,-0.12857,0.71605,1.54137,-0.32092,
1787040632033339136,1.59154,3.58547,-0.11247,0.86218,-0.47519,0.11765,-0.13035,0.69095,1.57184,-0.21180,
1787040632100006144,1.64247,3.69828,-0.12148,0.86472,-0.46957,0.11416,-0.13689,0.71939,1.60088,-0.00016,
1787040632166671872,1.69019,3.80200,-0.11450,0.86386,-0.46664,0.12329,-0.14420,0.75268,1.56536,0.16238,
1787040632233338112,1.73293,3.89552,-0.09609,0.86490,-0.46377,0.12500,-0.14571,0.73665,1.46622,0.30672,
1787040632300005888,1.78383,3.99426,-0.07617,0.86239,-0.46813,0.13271,-0.13972,0.77332,1.40102,0.26124,
1787040632366671104,1.83107,4.08325,-0.06356,0.86309,-0.46574,0.14184,-0.13434,0.71082,1.35483,0.06328,
1787040632433339136,1.87394,4.17136,-0.06348,0.86907,-0.45497,0.14085,-0.13369,0.66063,1.38922,-0.12700,
1787040632500005120,1.91762,4.26482,-0.07826,0.87719,-0.44222,0.13126,-0.13320,0.68463,1.45650,-0.24870,
1787040632566673152,1.96486,4.36657,-0.09728,0.88484,-0.43042,0.12113,-0.13088,0.72925,1.51285,-0.19333,
1787040632633338880,2.00881,4.46379,-0.10704,0.88871,-0.42814,0.10966,-0.12194,0.73492,1.57164,-0.09413,
1787040632700005888,2.05291,4.56548,-0.10919,0.89230,-0.42784,0.09412,-0.10907,0.65691,1.60954,0.06683,
1787040632766673152,2.08891,4.66667,-0.09903,0.89357,-0.43188,0.07676,-0.09548,0.54968,1.63567,0.31544,
1787040632833338112,2.12711,4.78167,-0.07913,0.88626,-0.45011,0.07360,-0.08080,0.52548,1.69732,0.33130,
1787040632900006144,2.16377,4.89950,-0.06921,0.87544,-0.47217,0.07412,-0.07186,0.47075,1.64489,0.07726,
1787040632966671872,2.19976,5.01842,-0.07585,0.87629,-0.47330,0.05942,-0.06763,0.46193,1.65453,-0.17114,
1787040633033339136,2.23469,5.13365,-0.09489,0.88056,-0.46814,0.04586,-0.05796,0.50975,1.70902,-0.33344,
1787040633100007168,2.26817,5.24715,-0.11630,0.88694,-0.45809,0.03897,-0.04433,0.51512,1.77795,-0.26016,
1787040633166671872,2.30461,5.36962,-0.12798,0.88755,-0.45770,0.04105,-0.03284,0.52532,1.83113,-0.03876,
1787040633233339136,2.34230,5.49175,-0.12268,0.88906,-0.45441,0.04822,-0.02747,0.55874,1.81762,0.19470,
1787040633300005888,2.38152,5.61117,-0.10815,0.88595,-0.45949,0.05702,-0.02669,0.59045,1.74362,0.28281,
1787040633366672128,2.42483,5.72604,-0.08874,0.88035,-0.46853,0.06949,-0.02514,0.68295,1.72267,0.27376,
1787040633433339136,2.47084,5.83333,-0.08058,0.87189,-0.48095,0.08883,-0.02473,0.67996,1.71478,0.05337,
1787040633500005888,2.51665,5.93566,-0.08969,0.86414,-0.49143,0.10433,-0.02963,0.70420,1.72466,-0.20000,
1787040633566673152,2.56016,6.03293,-0.11178,0.85469,-0.50369,0.11997,-0.03752,0.71572,1.73495,-0.33098,
1787040633633338880,2.60358,6.13429,-0.13195,0.85292,-0.50460,0.12620,-0.04456,0.71040,1.70702,-0.27227,
1787040633700005888,2.64371,6.23248,-0.14562,0.85004,-0.50926,0.12559,-0.04803,0.68424,1.68040,-0.14294,
1787040633766673152,2.68698,6.34467,-0.14934,0.85149,-0.50866,0.11684,-0.05081,0.63803,1.76304,0.01674,
1787040633833338112,2.72232,6.44736,-0.14335,0.84660,-0.51824,0.11162,-0.04724,0.51219,1.68875,0.25505,
